"./main -n 1 -f A-200k.in -s 100000"  269.27  4.15  266.61  4241520
"./main -n 1 -f A-200k.in -s 100000"  266.90  3.64  264.56  4241520
"./main -n 1 -f A-200k.in -s 100000"  270.10  4.06  267.50  4241504
"./main -n 2 -f A-200k.in -s 100000"  139.92  4.20  263.78  4098832
"./main -n 2 -f A-200k.in -s 100000"  139.88  4.42  262.08  4340304
"./main -n 2 -f A-200k.in -s 100000"  137.18  4.17  257.80  4104080
"./main -n 3 -f A-200k.in -s 100000"  102.46  4.76  271.77  4188928
"./main -n 3 -f A-200k.in -s 100000"  102.92  4.62  274.20  4145280
"./main -n 3 -f A-200k.in -s 100000"  101.18  4.79  267.47  4261024
"./main -n 4 -f A-200k.in -s 100000"  83.06  4.75  273.46  4168400
"./main -n 4 -f A-200k.in -s 100000"  82.59  4.85  270.69  4321152
"./main -n 4 -f A-200k.in -s 100000"  82.75  4.66  271.17  4116048
"./main -n 5 -f A-200k.in -s 100000"  70.80  4.87  268.32  4293520
"./main -n 5 -f A-200k.in -s 100000"  69.68  4.97  262.52  4069328
"./main -n 5 -f A-200k.in -s 100000"  69.52  4.77  260.33  4345888
"./main -n 6 -f A-200k.in -s 100000"  63.91  4.92  264.67  4320720
"./main -n 6 -f A-200k.in -s 100000"  63.67  4.91  263.87  4218240
"./main -n 6 -f A-200k.in -s 100000"  64.06  4.59  264.95  4230640
"./main -n 7 -f A-200k.in -s 100000"  59.30  4.88  256.70  4105056
"./main -n 7 -f A-200k.in -s 100000"  59.40  5.15  252.81  4290560
"./main -n 7 -f A-200k.in -s 100000"  59.14  4.62  255.98  4118352
"./main -n 8 -f A-200k.in -s 100000"  57.23  4.81  245.30  4228112
"./main -n 8 -f A-200k.in -s 100000"  56.62  5.21  239.72  4091344
"./main -n 8 -f A-200k.in -s 100000"  57.15  4.68  238.19  4126704
"./main -n 9 -f A-200k.in -s 100000"  56.71  4.27  236.71  4208768
"./main -n 9 -f A-200k.in -s 100000"  56.58  4.39  235.87  4318464
"./main -n 9 -f A-200k.in -s 100000"  56.36  4.74  232.23  4160352
"./main -n 10 -f A-200k.in -s 100000"  56.46  4.88  232.41  4138848
"./main -n 10 -f A-200k.in -s 100000"  56.44  4.97  229.36  4220320
"./main -n 10 -f A-200k.in -s 100000"  56.64  5.01  234.09  4338464
"./main -n 11 -f A-200k.in -s 100000"  56.66  4.99  232.28  4191760
"./main -n 11 -f A-200k.in -s 100000"  56.83  5.09  228.76  4307312
"./main -n 11 -f A-200k.in -s 100000"  56.48  4.83  230.18  4247200
"./main -n 12 -f A-200k.in -s 100000"  56.45  4.58  231.59  4331584
"./main -n 12 -f A-200k.in -s 100000"  56.86  5.12  227.85  4280128
"./main -n 12 -f A-200k.in -s 100000"  56.43  4.68  226.85  4266864
"./main -n 13 -f A-200k.in -s 100000"  56.20  4.68  229.10  4100208
"./main -n 13 -f A-200k.in -s 100000"  56.10  4.60  235.37  4173216
"./main -n 13 -f A-200k.in -s 100000"  55.62  4.44  232.00  4106112
"./main -n 14 -f A-200k.in -s 100000"  55.70  4.49  229.32  4096560
"./main -n 14 -f A-200k.in -s 100000"  56.58  4.94  234.18  4252848
"./main -n 14 -f A-200k.in -s 100000"  55.47  4.79  228.92  4247184
"./main -n 15 -f A-200k.in -s 100000"  56.42  4.98  234.78  4253648
"./main -n 15 -f A-200k.in -s 100000"  57.28  4.60  228.30  4268080
"./main -n 15 -f A-200k.in -s 100000"  56.98  4.78  226.46  4114544
"./main -n 16 -f A-200k.in -s 100000"  56.96  4.94  229.45  4093856
"./main -n 16 -f A-200k.in -s 100000"  57.04  5.02  232.32  4143760
"./main -n 16 -f A-200k.in -s 100000"  57.11  5.09  229.85  4071280
